feature,score,r,lo,hi,n
eta_int,Berg,0.36843307775960465,-0.20809388065408463,0.7708723042060935,13
eta_int,Fugl,0.3612477070591158,-0.14430187357155475,0.7775540809535931,13
eta_slope,Berg,-0.07102628050361522,-0.7079414905022912,0.32833973736611,13
eta_slope,Fugl,-0.32811066646005005,-0.7167975586002168,0.14878488213011382,13
rank_int,Berg,-0.07522381646414372,-0.5929263287955508,0.5423239100334207,13
rank_int,Fugl,0.580473388866978,0.27315126373378695,0.8274071172677315,13
rank_slope,Berg,-0.8099389355459097,-0.9378591715226251,-0.4838555026699034,13
rank_slope,Fugl,-0.03500666468711119,-0.5974123037167189,0.3279746169457542,13
log_eigdist_int,Berg,-0.5421453102392203,-0.8365463400215234,-0.12477599183541689,13
log_eigdist_int,Fugl,-0.3626336416012435,-0.7899494328890186,0.14053279979750377,13
log_eigdist_slope,Berg,-0.07515193060002606,-0.6433007695252753,0.5551926869823135,13
log_eigdist_slope,Fugl,-0.023342643645683146,-0.66436431509383,0.6598149508914597,13
c1_int,Berg,0.3634331599034731,-0.24754255394931696,0.7042499722318564,13
c1_int,Fugl,0.2187743504973785,-0.7131903790452311,0.5690417262468744,13
c1_slope,Berg,0.3607076846189148,-0.4218878704111386,0.6934194660705634,13
c1_slope,Fugl,0.20908862480554605,-0.8451665559613031,0.5014603778724358,13
decay_rate_int,Berg,-0.24082497374081513,-0.7117080711734854,0.2896767604881697,13
decay_rate_int,Fugl,-0.18401903153272023,-0.8504057195433783,0.44611041914124105,13
decay_rate_slope,Berg,0.08758427828532951,-0.4318596277198928,0.7321853238513507,13
decay_rate_slope,Fugl,0.43273703143154224,-0.2215185634868664,0.8292025809348008,13
qfactor_int,Berg,0.5464271437531236,0.14469870158547846,0.7840645230223517,13
qfactor_int,Fugl,0.44490512715966607,0.024949178881618336,0.7839274983867067,13
qfactor_slope,Berg,-0.014820186787921177,-0.6354044127764037,0.5065700678873657,13
qfactor_slope,Fugl,0.004974655460961358,-0.7109176748728375,0.7118500629523459,13
